filename,orientation,panels_px,shadow_px,soil_px,total_px,panels,shadow,soil,comments
IMG_181024_095627_0031_RGB.JPG,vertical,320,135,120,575,"55,7","23,5","20,9",
IMG_181024_095637_0033_RGB.JPG,horizontal,325,125,115,565,"57,5","22,1","20,4",
IMG_181024_122517_0025_RGB.JPG,horizontal,315,160,85,560,"56,3","28,6","15,2",
IMG_181024_122816_0061_RGB.JPG,vertical,320,160,90,570,"56,1","28,1","15,8",
IMG_181024_125412_0026_RGB.JPG,horizontal,320,230,0,550,"58,2","41,8","0,0","full shadow, clouds"
IMG_181024_125425_0028_RGB.JPG,vertical,330,250,0,580,"56,9","43,1","0,0","full shadow, clouds"
IMG_181024_144259_0055_RGB.JPG,vertical,320,280,0,600,"53,3","46,7","0,0","full shadow, clouds"
IMG_181024_144320_0059_RGB.JPG,horizontal,320,300,0,620,"51,6","48,4","0,0","full shadow, clouds"
IMG_181025_042734_0061_RGB.JPG,horizontal,330,270,0,600,"55,0","45,0","0,0","full shadow, clouds"
IMG_181025_042746_0063_RGB.JPG,vertical,360,275,0,635,"56,7","43,3","0,0","full shadow, clouds"
IMG_181025_053123_0042_RGB.JPG,horizontal,320,260,0,580,"55,2","44,8","0,0","full shadow, clouds"
IMG_181025_053132_0043_RGB.JPG,vertical,330,250,0,580,"56,9","43,1","0,0","full shadow, clouds"
IMG_181025_063946_0026_RGB.JPG,vertical,320,270,0,590,"54,2","45,8","0,0","full shadow, clouds"
IMG_181025_064101_0042_RGB.JPG,horizontal,300,240,0,540,"55,6","44,4","0,0","full shadow, clouds"
IMG_181025_080529_0027_RGB.JPG,vertical,310,275,0,585,"53,0","47,0","0,0","full shadow, clouds"
IMG_181025_080811_0059_RGB.JPG,horizontal,330,285,0,615,"53,7","46,3","0,0","full shadow, clouds"
IMG_181025_095238_0023_RGB.JPG,horizontal,320,275,0,595,"53,8","46,2","0,0","full shadow, clouds"
IMG_181025_095302_0028_RGB.JPG,vertical,340,305,0,645,"52,7","47,3","0,0","full shadow, clouds"
IMG_181025_113023_0028_RGB.JPG,vertical,320,300,0,620,"51,6","48,4","0,0","full shadow, clouds"
IMG_181025_113304_0061_RGB.JPG,horizontal,340,310,0,650,"52,3","47,7","0,0","full shadow, clouds"
IMG_181025_124331_0043_RGB.JPG,horizontal,330,185,80,595,"55,5","31,1","13,4",
IMG_181025_124339_0044_RGB.JPG,vertical,330,210,75,615,"53,7","34,1","12,2",
IMG_181025_133157_0026_RGB.JPG,vertical,315,265,0,580,"54,3","45,7","45,7","full shadow, clouds"
IMG_181025_133447_0061_RGB.JPG,horizontal,315,280,0,595,"52,9","47,1","47,1","full shadow, clouds"
IMG_181025_141332_0024_RGB.JPG,vertical,320,260,0,580,"55,2","44,8","44,8","full shadow, clouds"
IMG_181025_141456_0042_RGB.JPG,horizontal,310,285,0,595,"52,1","47,9","47,9","full shadow, clouds"
IMG_181026_062105_0023_RGB.JPG,horizontal,290,250,0,540,"53,7","46,3","46,3","full shadow, clouds"
IMG_181026_062232_0042_RGB.JPG,vertical,310,275,0,585,"53,0","47,0","47,0","full shadow, clouds"
IMG_181026_090658_0041_RGB.JPG,horizontal,270,190,110,570,"47,4","33,3","19,3",
IMG_181026_090706_0042_RGB.JPG,vertical,300,190,120,610,"49,2","31,1","19,7",
IMG_181026_132703_0050_RGB.JPG,vertical,290,320,0,610,"47,5","52,5","0,0",
IMG_181026_132709_0051_RGB.JPG,horizontal,285,320,0,605,"47,1","52,9","0,0",
IMG_181027_060715_0053_RGB.JPG,vertical,310,235,90,635,"48,8","37,0","14,2",
IMG_181027_060723_0054_RGB.JPG,horizontal,300,250,85,635,"47,2","39,4","13,4",
IMG_181027_090000_0036_RGB.JPG,vertical,300,200,115,615,"48,8","32,5","18,7",
IMG_181027_090113_0051_RGB.JPG,horizontal,280,215,110,605,"46,3","35,5","18,2",
IMG_181027_095716_0043_RGB.JPG,horizontal,325,190,115,630,"51,6","30,2","18,3",
IMG_181027_095810_0054_RGB.JPG,vertical,310,205,115,630,"49,2","32,5","18,3",
IMG_181027_124850_0030_RGB.JPG,vertical,260,260,50,570,"45,6","45,6","8,8",
IMG_181027_124905_0033_RGB.JPG,horizontal,285,255,85,625,"45,6","40,8","13,6",
IMG_181028_072600_0048_RGB.JPG,vertical,300,210,110,620,"48,4","33,9","17,7",
IMG_181028_072620_0052_RGB.JPG,horizontal,280,220,110,610,"45,9","36,1","18,0",
IMG_181028_082815_0052_RGB.JPG,vertical,285,215,115,615,"46,3","35,0","18,7",
IMG_181028_082835_0056_RGB.JPG,horizontal,300,225,120,645,"46,5","34,9","18,6",
IMG_181028_111938_0032_RGB.JPG,vertical,260,220,90,570,"45,6","38,6","15,8",
IMG_181028_111953_0035_RGB.JPG,horizontal,305,220,85,610,"50,0","36,1","13,9",
IMG_181028_135053_0034_RGB.JPG,vertical,280,285,0,565,"49,6","50,4","0,0",
IMG_181028_135101_0035_RGB.JPG,horizontal,275,300,0,575,"47,8","52,2","0,0",
IMG_181029_074438_0050_RGB.JPG,vertical,290,220,110,620,"46,8","35,5","17,7",
IMG_181029_074449_0052_RGB.JPG,horizontal,290,235,100,625,"46,4","37,6","16,0",
IMG_181029_093328_0056_RGB.JPG,horizontal,330,210,110,650,"50,8","32,3","16,9",
IMG_181029_093339_0058_RGB.JPG,vertical,330,180,120,630,"52,4","28,6","19,0",
IMG_181029_095743_0050_RGB.JPG,vertical,320,200,115,635,"50,4","31,5","18,1",
IMG_181029_095751_0051_RGB.JPG,horizontal,340,215,115,670,"50,7","32,1","17,2",
IMG_181029_124211_0050_RGB.JPG,vertical,280,260,50,590,"47,5","44,1","8,5",
IMG_181029_124223_0052_RGB.JPG,horizontal,285,265,50,600,"47,5","44,2","8,3",
IMG_181030_080453_0033_RGB.JPG,horizontal,290,210,110,610,"47,5","34,4","18,0",
IMG_181030_080505_0035_RGB.JPG,vertical,295,200,105,600,"49,2","33,3","17,5",
IMG_181030_113637_0033_RGB.JPG,horizontal,275,235,85,595,"46,2","39,5","14,3",
IMG_181030_113645_0034_RGB.JPG,vertical,295,220,85,600,"49,2","36,7","14,2",
IMG_181030_140704_0056_RGB.JPG,vertical,280,300,0,580,"48,3","51,7","0,0",
IMG_181030_140712_0057_RGB.JPG,horizontal,270,300,0,570,"47,4","52,6","0,0",
