doy,time,shadow,panel,soil
1,04:00,49.0,51,0.0
1,04:15,49.0,51,0.0
1,04:30,49.0,51,0.0
1,04:45,49.0,51,0.0
1,05:00,49.0,51,0.0
1,05:15,49.0,51,0.0
1,05:30,49.0,51,0.0
1,05:45,49.0,51,0.0
1,06:00,49.0,51,0.0
1,06:15,49.0,51,0.0
1,06:30,49.0,51,0.0
1,06:45,49.0,51,0.0
1,07:00,49.0,51,0.0
1,07:15,49.0,51,0.0
1,07:30,49.0,51,0.0
1,07:45,49.0,51,0.0
1,08:00,49.0,51,0.0
1,08:15,49.0,51,0.0
1,08:30,49.0,51,0.0
1,08:45,49.0,51,0.0
1,09:00,49.0,51,0.0
1,09:15,49.0,51,0.0
1,09:30,48.23696834767121,51,0.7630316523287917
1,09:45,46.67575258865992,51,2.3242474113400817
1,10:00,45.2625147149618,51,3.737485285038197
1,10:15,43.9972816325937,51,5.0027183674063025
1,10:30,42.880077429767645,51,6.1199225702323545
1,10:45,41.910923376443144,51,7.089076623556856
1,11:00,41.08983792391429,51,7.910162076085712
1,11:15,40.41683670446513,51,8.583163295534867
1,11:30,39.891932531068804,51,9.108067468931196
1,11:45,39.51513539714483,51,9.484864602855168
1,12:00,39.28645247636725,51,9.713547523632748
1,12:15,39.205888122528215,51,9.794111877471785
1,12:30,39.27344386945755,51,9.726556130542448
1,12:45,39.4891184309914,51,9.510881569008603
1,13:00,39.852907700996916,51,9.147092299003084
1,13:15,40.364804753451885,51,8.635195246548115
1,13:30,41.02479984257153,51,7.975200157428468
1,13:45,41.83288040300283,51,7.167119596997168
1,14:00,42.789031050056124,51,6.210968949943876
1,14:15,43.893233580001706,51,5.106766419998294
1,14:30,45.1454669704153,51,3.854533029584701
1,14:45,46.54570738057674,51,2.4542926194232635
1,15:00,48.09392815192979,51,0.9060718480702121
1,15:15,49.0,51,0.0
1,15:30,49.0,51,0.0
1,15:45,49.0,51,0.0
1,16:00,49.0,51,0.0
1,16:15,49.0,51,0.0
1,16:30,49.0,51,0.0
1,16:45,49.0,51,0.0
1,17:00,49.0,51,0.0
1,17:15,49.0,51,0.0
1,17:30,49.0,51,0.0
1,17:45,49.0,51,0.0
1,18:00,49.0,51,0.0
1,18:15,49.0,51,0.0
1,18:30,49.0,51,0.0
1,18:45,49.0,51,0.0
1,19:00,49.0,51,0.0
1,19:15,49.0,51,0.0
1,19:30,49.0,51,0.0
1,19:45,49.0,51,0.0
1,20:00,49.0,51,0.0
1,20:15,49.0,51,0.0
1,20:30,49.0,51,0.0
1,20:45,49.0,51,0.0
2,04:00,49.0,51,0.0
2,04:15,49.0,51,0.0
2,04:30,49.0,51,0.0
2,04:45,49.0,51,0.0
2,05:00,49.0,51,0.0
2,05:15,49.0,51,0.0
2,05:30,49.0,51,0.0
2,05:45,49.0,51,0.0
2,06:00,49.0,51,0.0
2,06:15,49.0,51,0.0
2,06:30,49.0,51,0.0
2,06:45,49.0,51,0.0
2,07:00,49.0,51,0.0
2,07:15,49.0,51,0.0
2,07:30,49.0,51,0.0
2,07:45,49.0,51,0.0
2,08:00,49.0,51,0.0
2,08:15,49.0,51,0.0
2,08:30,49.0,51,0.0
2,08:45,49.0,51,0.0
2,09:00,49.0,51,0.0
2,09:15,49.0,51,0.0
2,09:30,48.160281873666015,51,0.8397181263339846
2,09:45,46.60252434748507,51,2.3974756525149274
2,10:00,45.19243455082918,51,3.8075654491708235
2,10:15,43.93003932978033,51,5.069960670219672
2,10:30,42.8153627185218,51,6.184637281478203
2,10:45,41.84842593889135,51,7.151574061108647
2,11:00,41.02924739996941,51,7.970752600030593
2,11:15,40.357842697735144,51,8.642157302264856
2,11:30,39.834224614766285,51,9.165775385233715
2,11:45,39.458403119997044,51,9.541596880002956
2,12:00,39.23038536852671,51,9.769614631473289
2,12:15,39.150175701483576,51,9.849824298516424
2,12:30,39.21777564594473,51,9.782224354055273
2,12:45,39.433183914904845,51,9.566816085095155
2,13:00,39.79639640730094,51,9.20360359269906
2,13:15,40.30740620809178,51,8.692593791908223
2,13:30,40.966203588384595,51,8.033796411615405
2,13:45,41.772776005629005,51,7.227223994370995
2,14:00,42.72710810384824,51,6.272891896151762
2,14:15,43.829181713935114,51,5.170818286064886
2,14:30,45.07897585399695,51,3.921024146003049
2,14:45,46.476466729753355,51,2.523533270246645
2,15:00,48.0216277349953,51,0.9783722650047011
2,15:15,49.0,51,0.0
2,15:30,49.0,51,0.0
2,15:45,49.0,51,0.0
2,16:00,49.0,51,0.0
2,16:15,49.0,51,0.0
2,16:30,49.0,51,0.0
2,16:45,49.0,51,0.0
2,17:00,49.0,51,0.0
2,17:15,49.0,51,0.0
2,17:30,49.0,51,0.0
2,17:45,49.0,51,0.0
2,18:00,49.0,51,0.0
2,18:15,49.0,51,0.0
2,18:30,49.0,51,0.0
2,18:45,49.0,51,0.0
2,19:00,49.0,51,0.0
2,19:15,49.0,51,0.0
2,19:30,49.0,51,0.0
2,19:45,49.0,51,0.0
2,20:00,49.0,51,0.0
2,20:15,49.0,51,0.0
2,20:30,49.0,51,0.0
2,20:45,49.0,51,0.0
3,04:00,49.0,51,0.0
3,04:15,49.0,51,0.0
3,04:30,49.0,51,0.0
3,04:45,49.0,51,0.0
3,05:00,49.0,51,0.0
3,05:15,49.0,51,0.0
3,05:30,49.0,51,0.0
3,05:45,49.0,51,0.0
3,06:00,49.0,51,0.0
3,06:15,49.0,51,0.0
3,06:30,49.0,51,0.0
3,06:45,49.0,51,0.0
3,07:00,49.0,51,0.0
3,07:15,49.0,51,0.0
3,07:30,49.0,51,0.0
3,07:45,49.0,51,0.0
3,08:00,49.0,51,0.0
3,08:15,49.0,51,0.0
3,08:30,49.0,51,0.0
3,08:45,49.0,51,0.0
3,09:00,49.0,51,0.0
3,09:15,49.0,51,0.0
3,09:30,48.07655561455094,51,0.9234443854490593
3,09:45,46.5225737854768,51,2.4774262145231987
3,10:00,45.11592105797256,51,3.8840789420274433
3,10:15,43.85662421268334,51,5.143375787316657
3,10:30,42.74470722480382,51,6.255292775196182
3,10:45,41.78019126363252,51,7.219808736367483
3,11:00,40.96309469216095,51,8.03690530783905
3,11:15,40.29343306673063,51,8.706566933269372
3,11:30,39.77121913673362,51,9.22878086326638
3,11:45,39.3964628443711,51,9.6035371556289
3,12:00,39.16917132446241,51,9.830828675537589
3,12:15,39.08934890430946,51,9.91065109569054
3,12:30,39.15699710361672,51,9.843002896383283
3,12:45,39.37211463446015,51,9.627885365539854
3,13:00,39.73469740131199,51,9.26530259868801
3,13:15,40.244738501120096,51,8.755261498879904
3,13:30,40.90222822343436,51,8.097771776565637
3,13:45,41.70715405060033,51,7.29284594939967
3,14:00,42.65950065798992,51,6.340499342010077
3,14:15,43.75924991429686,51,5.240750085703141
3,14:30,45.00638088188078,51,3.99361911811922
3,14:45,46.40086981716428,51,2.5991301828357223
3,15:00,47.94269017109093,51,1.0573098289090694
3,15:15,49.0,51,0.0
3,15:30,49.0,51,0.0
3,15:45,49.0,51,0.0
3,16:00,49.0,51,0.0
3,16:15,49.0,51,0.0
3,16:30,49.0,51,0.0
3,16:45,49.0,51,0.0
3,17:00,49.0,51,0.0
3,17:15,49.0,51,0.0
3,17:30,49.0,51,0.0
3,17:45,49.0,51,0.0
3,18:00,49.0,51,0.0
3,18:15,49.0,51,0.0
3,18:30,49.0,51,0.0
3,18:45,49.0,51,0.0
3,19:00,49.0,51,0.0
3,19:15,49.0,51,0.0
3,19:30,49.0,51,0.0
3,19:45,49.0,51,0.0
3,20:00,49.0,51,0.0
3,20:15,49.0,51,0.0
3,20:30,49.0,51,0.0
3,20:45,49.0,51,0.0
4,04:00,49.0,51,0.0
4,04:15,49.0,51,0.0
4,04:30,49.0,51,0.0
4,04:45,49.0,51,0.0
4,05:00,49.0,51,0.0
4,05:15,49.0,51,0.0
4,05:30,49.0,51,0.0
4,05:45,49.0,51,0.0
4,06:00,49.0,51,0.0
4,06:15,49.0,51,0.0
4,06:30,49.0,51,0.0
4,06:45,49.0,51,0.0
4,07:00,49.0,51,0.0
4,07:15,49.0,51,0.0
4,07:30,49.0,51,0.0
4,07:45,49.0,51,0.0
4,08:00,49.0,51,0.0
4,08:15,49.0,51,0.0
4,08:30,49.0,51,0.0
4,08:45,49.0,51,0.0
4,09:00,49.0,51,0.0
4,09:15,49.0,51,0.0
4,09:30,47.98581451672549,51,1.0141854832745096
4,09:45,46.435924724058445,51,2.564075275941555
4,10:00,45.03299703373392,51,3.9670029662660795
4,10:15,43.777058155477704,51,5.222941844522296
4,10:30,42.66813200055361,51,6.331867999446388
4,10:45,41.70623968131902,51,7.293760318680981
4,11:00,40.89139951081509,51,8.108600489184909
4,11:15,40.223627002424706,51,8.776372997575294
4,11:30,39.702934869573866,51,9.297065130426134
4,11:45,39.329333025490925,51,9.670666974509075
4,12:00,39.102828583016205,51,9.897171416983795
4,12:15,39.023425854466765,51,9.976574145533235
4,12:30,39.09112635155678,51,9.908873648443219
4,12:45,39.30592878536653,51,9.694071214633468
4,13:00,39.66782906636726,51,9.332170933632739
4,13:15,40.17682030450034,51,8.823179695499661
4,13:30,40.83289280930355,51,8.167107190696449
4,13:45,41.63603409010419,51,7.363965909895811
4,14:00,42.58622885624938,51,6.413771143750623
4,14:15,43.68345901740078,51,5.316540982599221
4,14:30,44.92770368387801,51,4.072296316121992
4,14:45,46.31893916705464,51,2.681060832945363
4,15:00,47.85713897981529,51,1.1428610201847107
4,15:15,49.0,51,0.0
4,15:30,49.0,51,0.0
4,15:45,49.0,51,0.0
4,16:00,49.0,51,0.0
4,16:15,49.0,51,0.0
4,16:30,49.0,51,0.0
4,16:45,49.0,51,0.0
4,17:00,49.0,51,0.0
4,17:15,49.0,51,0.0
4,17:30,49.0,51,0.0
4,17:45,49.0,51,0.0
4,18:00,49.0,51,0.0
4,18:15,49.0,51,0.0
4,18:30,49.0,51,0.0
4,18:45,49.0,51,0.0
4,19:00,49.0,51,0.0
4,19:15,49.0,51,0.0
4,19:30,49.0,51,0.0
4,19:45,49.0,51,0.0
4,20:00,49.0,51,0.0
4,20:15,49.0,51,0.0
4,20:30,49.0,51,0.0
4,20:45,49.0,51,0.0
5,04:00,49.0,51,0.0
5,04:15,49.0,51,0.0
5,04:30,49.0,51,0.0
5,04:45,49.0,51,0.0
5,05:00,49.0,51,0.0
5,05:15,49.0,51,0.0
5,05:30,49.0,51,0.0
5,05:45,49.0,51,0.0
5,06:00,49.0,51,0.0
5,06:15,49.0,51,0.0
