,Ecosystem,Season,Time,Year_x,H_mean,LE_mean,Rn_mean,PVeff_x,PVe_mean,Sin_x,Sout_x,Lin_x,Lout_x,Year_y,H_sd,LE_sd,Rn_sd,PVeff_y,PVe_sd,Sin_y,Sout_y,Lin_y,Lout_y
0,Desert background,Autumn,00:00,2018.0,-7.807781,-1.5143443,-54.38815,0.058,0.0,2.180125e-05,0.0429798,386.0019,440.34708,0.0,4.594849963196315,1.2137660443779432,10.563476927153463,0.0,0.0,6.166324717479528e-05,0.10069340898694283,15.260176377781493,6.8183195779916055
1,Desert background,Autumn,00:30,2018.0,-10.206216,-0.066387296,-56.974346,0.058,0.0,0.0,0.029637095,381.6346,438.57935,0.0,12.539835250382948,3.5886274988341467,8.842587048996,0.0,0.0,0.0,0.07172230051649517,14.48602163136965,7.197545420230112
2,Desert background,Autumn,01:00,2018.0,-7.087904,-1.5759768,-57.18785,0.058,0.0,0.0,0.010840516,379.504,436.681,0.0,3.865786136472415,1.3922451720820277,7.96511720580337,0.0,0.0,0.0,0.024649456238753215,13.724565402001241,6.748204167380787
3,Desert background,Autumn,01:30,2018.0,-6.6777287,-1.232112,-56.54011,0.058,0.0,0.0,0.029405253,378.8745,435.3852,0.0,4.4791991938144164,1.8364268637446601,7.917584896091094,0.0,0.0,0.0,0.050835247167670156,13.42310891542303,6.540567599065493
4,Desert background,Autumn,02:00,2018.0,-6.443927,-2.1509902,-54.65864,0.058,0.0,0.0,0.060255107,380.4525,435.0509,0.0,4.281509660765496,3.3549265026292274,9.621174331269417,0.0,0.0,0.0,0.14413995672379895,15.330318584020477,6.848551399412186
5,Desert background,Autumn,02:30,2018.0,-11.018675,-2.0072293,-55.262882,0.058,0.0,0.0,0.00038938975,378.65427,433.91675,0.0,6.55916542282914,1.8313153445090549,8.217189328328882,0.0,0.0,0.0,0.0005863309875743683,14.648249380301904,7.499585051620345
6,Desert background,Autumn,03:00,2018.0,-11.158148,-2.668746,-53.120064,0.058,0.0,0.0,0.016227512,379.403,432.50684,0.0,6.814060858792247,3.8114113648637775,8.819774916736414,0.0,0.0,0.0,0.024667184638640434,16.297142501988475,8.233555552417478
7,Desert background,Autumn,03:30,2018.0,-10.325522,-1.6571813,-50.707417,0.058,0.0,0.005842975,0.045918755,381.8788,432.54617,0.0,4.32175934193703,2.90503480556341,12.953613834915876,0.0,0.0,0.01652642862600642,0.06643891202594784,21.58430137269059,9.86515535934967
8,Desert background,Autumn,04:00,2018.0,-8.260495,-1.5084114,-52.855366,0.058,0.0,0.009639275,0.051667072,378.78278,431.5961,0.0,8.575920303716192,2.6889014709069126,13.274741321833277,0.0,0.0,0.027263987609041546,0.09124406662764226,20.834315825387872,9.854622502708402
9,Desert background,Autumn,04:30,2018.0,-8.912052,-2.1947787,-53.54791,0.058,0.0,4.0879124e-05,0.042754225,377.18613,430.6913,0.0,3.2260018742351844,1.5850816807296615,9.100193268046402,0.0,0.0,0.00011562362271681193,0.08752493327259778,16.751019613833016,9.631264409702338
10,Desert background,Autumn,05:00,2018.0,-9.537107,-4.0447564,-55.36292,0.058,0.0,0.0,0.043599162,374.45612,429.77545,0.0,4.3856990743019315,4.229713719418559,6.845331616355029,0.0,0.0,0.0,0.07539364573329105,15.215437081796575,10.466025961836017
11,Desert background,Autumn,05:30,2018.0,-7.2778344,0.50861317,-53.66678,0.058,0.0,3.9735138,1.9091525,373.4049,429.13605,0.0,6.837195860763159,4.1421410640442895,5.5340891854498135,0.0,0.0,1.2704501667264725,0.4671405562609137,15.055659830760176,11.898039863608417
12,Desert background,Autumn,06:00,2018.0,-7.2692223,-0.53195,-31.276867,0.058,0.0,46.8311,21.38805,374.9978,431.71774,0.0,21.80355728540509,5.142884576965925,7.630530557179612,0.0,0.0,13.817752660284645,8.692853690912294,15.616684063319859,13.902009676036242
13,Desert background,Autumn,06:30,2018.0,-5.95201,-2.9522855,-16.276554,0.058,0.0,96.57777,49.60707,371.39163,434.6389,0.0,17.445562125217116,4.1048229288117355,40.731411013973336,0.0,0.0,37.62159994659146,9.263833364286842,8.666278635931395,6.636190458570044
14,Desert background,Autumn,07:00,2018.0,14.553779,2.4702663,16.812706,0.058,0.0,174.41788,85.24235,371.28943,443.65225,0.0,17.753228539407772,2.2267704199233846,61.250999042880174,0.0,0.0,61.11922081212399,16.009199196585158,9.26810444172936,6.135452047133993
15,Desert background,Autumn,07:30,2018.0,28.284273,9.503821,73.40167,0.058,0.0,282.5757,127.16149,373.51764,455.5302,0.0,20.998994488180283,17.39957870348562,63.65843182695204,0.0,0.0,60.008054504125255,11.497229496545122,10.398995665414308,6.0710840033247795
16,Desert background,Autumn,08:00,2018.0,46.07737,14.82171,127.178345,0.058,0.0,391.93713,169.58255,375.03098,470.2072,0.0,11.223467318057033,6.833994332174757,68.94442266176844,0.0,0.0,69.23688491614388,13.74409327482948,8.210539661120974,5.567123342323869
17,Desert background,Autumn,08:30,2018.0,61.17755,15.816458,166.69968,0.058,0.0,475.12088,201.65665,375.75406,482.5186,0.0,8.321209801402452,6.038538578493243,66.52814901909818,0.0,0.0,64.89701524742766,13.864808323535428,7.306059915392626,7.893772343852171
18,Desert background,Autumn,09:00,2018.0,79.62761,18.930052,216.6916,0.058,0.0,563.98706,231.71663,380.0715,495.6503,0.0,13.056829036640197,6.081653059537203,67.95273499741778,0.0,0.0,62.17046473641502,10.099589368722212,8.123192240646805,9.115204356708453
19,Desert background,Autumn,09:30,2018.0,90.381386,24.709585,248.50871,0.058,0.0,625.1284,252.82071,382.5304,506.3294,0.0,25.569537252188358,6.607435980713126,66.29535884504962,0.0,0.0,62.550388069925766,15.617113008781763,8.743546613085233,8.952273027808003
20,Desert background,Autumn,10:00,2018.0,124.626854,33.015213,262.2844,0.058,0.0,652.17566,259.3241,384.0008,514.568,0.0,20.712004138890208,9.521680576986883,60.2424827643259,0.0,0.0,74.58990637633059,28.162965166523083,8.698320334478556,8.069840212128339
